	USP																							
AKKA ANTEDON HOTEL	Vienas geriausi? Kemerio viešbu?i? – prabanga gamtos apsuptyje, aukš?iausio lygio maistas ir paslaugos šeimoms.																							
AKKA CLAROS HOTEL	Nedidelis, jaukus viešbutis su šilta atmosfera ir artimu atstumu iki j?ros.																							
AKRA - V HOTEL	Miesto viešbutis, priklausantis „AKRA“ tinklui – stilingas, patogus ir idealiai tinkamas trumpoms viešnag?ms Antalijoje.																							
AKRA ANTALYA	Vienas geriausi? miesto viešbu?i? Antalijoje – panorama ? j?r?, išskirtinis SPA, restoranai ir modernus dizainas.																							
AKRA FETHIYE THE RESIDENCE TUI BLUE SENSATORI ADULT ONLY (16+)	Prabangus, tik suaugusiesiems skirtas viešbutis Fethijoje – ramyb?, gurmaniška virtuv? ir j?ros pakrant?s elegancija.																							
AKRA FETHIYE TUI BLUE SENSATORI	Modernus, aukšto lygio kurortas Fethijoje su atskiromis zonomis šeimoms ir suaugusiesiems, puikia virtuve ir pla?iu papl?dimiu.																							
AKRA KEMER	Prabangus viešbutis ant j?ros kranto su nuostabia kaln? panorama, išskirtiniu SPA ir gurmaniškais restoran? pasirinkimais.																							
AKRA SORGUN TUI BLUE SENSATORI	Ramioje pušyno zonoje, aukštos klas?s viešbutis su jautriai apgalvota architekt?ra, kokybišku maistu ir komfortišku papl?dimiu.																							
ALA SOFIA HOTEL	Nedidelis, jaukus miesto viešbutis Side regione, tinkamas ramiam ir nebrangiam poilsiui.																							
ALAADDIN BEACH HOTEL	Ekonomiškas viešbutis Alanyos centre su tiesioginiu iš?jimu ? papl?dim? ir draugiška atmosfera.																							
ALAIYE RESORT & SPA HOTEL	Didelis kompleksas su vandens kalneliais, ?vairia animacija ir gražia teritorija – puikus pasirinkimas šeimoms.																							
ALAN XAFIRA DELUXE RESORT & SPA	Impozantiškas viešbutis su dideliu vandens parku, pla?iu „all inclusive“ pasirinkimu ir aktyvia anima­cija.																							
ALANYA BEACH HOTEL	Paprastas ir švarus viešbutis patogioje vietoje šalia papl?dimio – gera kaina ir vieta.																							
ALANYA BUYUK HOTEL	Miesto viešbutis su tiesioginiu vaizdu ? j?r?, moderniais kambariais ir puikia lokacija.																							
ALANYA RISUS PARK HOTEL	Ekonomiškas pasirinkimas su atnaujintais kambariais, jaukia atmosfera ir baseinu.																							
ALARCHA HOTELS & RESORTS	Naujas, modernus kompleksas su erdviu interjeru, švariu papl?dimiu ir aukštu aptarnavimo lygiu.																							
ALBA QUEEN HOTEL	Elegantiškas viešbutis su pla?iu sm?lio papl?dimiu ir puikiai priži?r?ta teritorija.																							
ALBA RESORT HOTEL	Didelis kompleksas, idealiai tinkantis šeimoms – geras maistas, žaliosios zonos ir veiklos vaikams.																							
ALBA ROYAL HOTEL ADULT ONLY (16+)	Tik suaugusiesiems skirtas viešbutis su ramiu papl?dimiu, gurmaniška virtuve ir stilinga aplinka.																							
ALERIA BELPORT BEACH HOTEL	Gražioje vietoje prie j?ros, su didele terasa, baseinu ir atpalaiduojan?ia atmosfera.																							
ALESSIA HOTEL & SPA	Modernus  viešbutis su nedidele, bet jaukia teritorija, baseinu ir stilingais kambariais.																							
ALETRIS DELUXE HOTEL & SPA	Naujas, aukšto lygio viešbutis su elegantišku dizainu, gurmanišku maistu ir prabangiu SPA.																							
ALEXIA RESORT & SPA ADULT ONLY (16+)	Tik suaugusiesiems skirtas viešbutis su moderniu interjeru, jaukia SPA zona ir ramaus poilsio atmosferu.																							
ALEXIUS BEACH HOTEL	Viešbutis su tiesioginiu iš?jimu ? papl?dim?, dideliu baseinu ir patogia vieta aktyvioms atostogoms.																							
ALI BEY CLUB & PARK	Vienas geriausi? šeimos kurort? Turkijoje – milžiniška teritorija su vandens parku, sporto akademijomis ir itin kokybiška animacija.																							
ALI BEY RESORT	Prabangus šeimoms skirtas kompleksas su didžiule teritorija, sporto infrastrukt?ra ir vienu geriausi? papl?dimi? Side regione.																							
ALIN HOTEL	Paprastas, jaukus viešbutis netoli Kleopatros papl?dimio – geras pasirinkimas nebrangiam poilsiui.																							
ALKAN HOTEL	Miesto tipo viešbutis Marmaryje, arti papl?dimio ir pramog? zonos, tinkamas aktyvioms atostogoms.																							
ALMARIS RESORT HOTEL	Tvarkingas, šeimoms tinkamas viešbutis netoli j?ros su baseinu ir ramiu poilsiu.																							
ALP PASA HOTEL	Autentiškas viešbutis senamiestyje su istorine atmosfera, boutique stiliumi ir unikaliu interjeru.																							
AMBASSADOR HOTEL	Kemerio centre esantis viešbutis su jaukia teritorija, gražiu papl?dimiu ir geru kainos bei kokyb?s santykiu.																							
AMBROSIA HOTEL	Viešbutis su gražia ?lanka Bitez rajone, malonia aplinka ir priva?iu papl?dimiu.																							
AMILLA BEACH RESORT BODRUM	Ekonomiškas, tvarkingas viešbutis prie papl?dimio, tinkamas ramiam poilsiui Bodrume.																							
AMON HOTELS BELEK	Naujas, modernus viešbutis su stilingais kambariais ir gera infrastrukt?ra patrauklia kaina.																							
ANDA BARUT COLLECTION	Aukš?iausios klas?s „Barut Collection“ kurortas su išskirtiniu maistu, moderniu dizainu ir erdvia teritorija.																							
ANITAS BEACH HOTEL	Viešbutis ant j?ros kranto, su geru papl?dimiu, jaukia atmosfera ir paprastu komfortu.																							
ANJELIQ DOWNTOWN	Stilingas butik–tipo viešbutis Alanyos centre, modernus, jaunatviškas ir su puikia vieta prie j?ros.																							
ANJELIQ HOUSE HOTEL	Mažas, jaukus miesto viešbutis su bohemiška atmosfera ir išskirtiniu interjeru.																							
ANNABELLA DIAMOND HOTEL	Puikus šeimyninis viešbutis su pla?iu sm?lio papl?dimiu, animacija ir vandens kalneliais.																							
ANNABELLA PARK HOTEL	Paprastesnis seserinis Annabella kompleksas su žaliu sodu, baseinu ir šeimoms tinkama aplinka.																							
ANTIQUE ROMAN PALACE ADULT ONLY (16+)	Tik suaugusiesiems skirtas elegantiškas viešbutis su prabangiu interjeru ir puikia paj?rio vieta.																							
AQI HYDROS CLUB	Didelis klubinio tipo kompleksas Kemerio pakrant?je su žalia teritorija, animacija ir kaln? panorama.																							
AQI PEGASOS CLUB	Šeimoms tinkamas viešbutis su vandens kalneliais, pla?iu papl?dimiu ir aktyvia animacija.																							
AQI PEGASOS RESORT	Dalies trij? viešbu?i? komplekso, si?lanti erdv? papl?dim?, didel? basein? ir patogumus visoms amžiaus grup?ms.																							
AQI PEGASOS ROYAL	Geriausia Pegasos komplekso dalis – moderniausi kambariai, geriausias papl?dimys ir aukš?iausias paslaug? lygis iš trijul?s.																							
AQI PEGASOS WORLD	Vienas didžiausi? vandens park? Turkijoje, idealiai tinka šeimoms su vaikais ir paaugliais, daug veikl? ir pramog?.																							
AQUA FANTASY AQUAPARK HOTEL & SPA	Milžiniškas vandens parkas su profesionaliomis ?iuožyklomis, stipri animacija ir didel? žalia teritorija.																							
AQUA HOTEL	Papl?dimio viešbutis su ramia aplinka ir geru kainos bei kokyb?s santykiu.																							
AQUAPARK	Viešbutis su vandens kalneliais, tinkamas šeimoms ir norintiems aktyvesnio poilsio.																							
AQUASIS DELUXE RESORT SPA	Didžiulis kompleksas Didime su akvaparku, šeimoms pritaikytos vilos ir apartamentai.																							
ARABELLA WORLD HOTEL	Tvarkingas viešbutis su baseinais ir animacija, geras pasirinkimas ekonomiškoms šeim? atostogoms.																							
ARBATT HOTEL	Ramus viešbutis arti papl?dimio, tinka nesud?tingam, biudžetiniam poilsiui.																							
ARES BLUE HOTEL	Kemerio regione ?sik?r?s jaukus viešbutis su gražia kaln? panorama ir papl?dimio prieiga.																							
ARES CITY HOTEL	Paprastas miesto viešbutis su patogia vieta netoli papl?dimio.																							
ARES DREAM HOTEL	Nedidelis Kemerio viešbutis, ekonomiškas pasirinkimas poroms.																							
ARES HOTEL KEMER	Ekonomiškas viešbutis Kemeryje, patogus pasirinkimas šeimoms ieškan?ioms paprasto poilsio.																							
ARIA CLAROS BEACH & SPA RESORT	Didel? žalia teritorija, akvaparkas, SPA ir gražus vaizdas ? Eg?jo j?r?.																							
ARIN RESORT HOTEL	Prabangaus stiliaus paj?rio viešbutis Bodrume, su pla?iu papl?dimiu ir aukštos kokyb?s maistu.																							
ARK SUITE HOTEL	Erdv?s numeriai su mini virtuv?l?mis, puikiai tinka šeimoms.																							
ARMAS BEACH HOTEL	Geras pasirinkimas Kemerio centre – arti papl?dimio, su animacija ir baseinu.																							
ARMAS BELLA SUN	Kompaktiškas viešbutis Side, šeimoms tinkamas ekonominis pasirinkimas.																							
ARMAS GREEN FUGLA BEACH	Platus papl?dimys, šeimyniniai kambariai, patogus variantas vaikams ir aktyvioms šeimoms.																							
ARMAS GUL BEACH HOTEL	Šeimoms patogus Kemero viešbutis su pla?iu papl?dimiu ir baseinais.																							
ARMAS KAPLAN PARADISE	Šeimoms draugiškas viešbutis Kemeryje, daug pramog? vaikams ir animacija.																							
ARMAS LABADA HOTEL	Stilingas, atnaujintas viešbutis su gražia j?ros panorama ir kokybišku maitinimu.																							
ARMAS PEMAR BEACH	Viešbutis su pla?iu papl?dimiu ir daug pramog? vaikams, tinkamas aktyvioms šeimoms.																							
ARNOR DE LUXE HOTEL & SPA	Modernus viešbutis su erdviais kambariais, stilingu interjeru ir gera infrastrukt?ra.																							
AROMA BUTIK HOTEL	Mažas, jaukus, boutique stiliaus viešbutis su ramesne atmosfera.																							
ARORA HOTEL	J?ros pakrant?je esantis viešbutis su gerais vaizdais ir šeimoms tinkamu komfortu.																							
ARSI BLUE BEACH	Kompaktiškas Alanijos viešbutis, arti papl?dimio, patogus šeimoms.																							
ARSI ENFI CITY BEACH	Ekonomiškas viešbutis Alanijoje, patogus papl?dimys, šeimoms draugiška aplinka.																							
ARSI HOTEL	Nedidelis viešbutis Alanijos centre, patogus variantas šeimoms su vyresniais vaikais.																							
ARSI PARADISE BEACH	Biudžetinis Alanijos viešbutis, arti papl?dimio, paprastas šeimoms draugiškas poilsis.																							
ARUM BARUT COLLECTION	Prabangus, aukšto lygio resortas su išskirtine gastronomija ir nepriekaištingu aptarnavimu.																							
ASDEM PARK HOTEL	Viešbutis Kemerio centre, su papl?dimiu šalia ir patogia vieta tiek poilsiui, tiek pramogoms.																							
ASKA BAYVIEW RESORT	Ant kalvos ?sik?r?s viešbutis su nuostabiais j?ros vaizdais, ramesne atmosfera ir gera kaina.																							
ASKA JUST IN BEACH	Puikus sm?lio papl?dimys prie pat viešbu?io, gera animacija ir komfortiškas poilsis šeimoms.																							
ASKA LARA RESORT & SPA	Didelis kompleksas su nuosavu pramog? parku „Wet’n Wild“, itin stipri animacija šeimoms.																							
ASKA LARA RIVER SUITE	Modern?s, erdv?s numeriai ir prieiga prie Aska Lara infrastrukt?ros bei vandens parko.																							
ASLAN CITY HOTEL	Ekonomiškas miesto viešbutis Alanyos centre, arti papl?dimio ir pramog? zonos.																							
ASRIN BEACH HOTEL	Kompaktiškas viešbutis arti papl?dimio, ekonominis pasirinkimas su šeimyniniais kambariais.																							
ASTERIA BLOOM SIDE	Modernus, stilingas viešbutis su stipria animacija ir komfortiška atmosfera visoms amžiaus grup?ms.																							
ASTERIA COLLECTION SIDE	Prabangesn? Asteria versija, su aukštu aptarnavimo lygiu, puikiu maistu ir erdvia teritorija.																							
ASTERIA FAMILY RESORT BELEK	Šeimoms skirtas kurortas su dideliu papl?dimiu, vandens kalneliais ir labai geru vaik? klubu.																							
ASTERIA FAMILY RESORT SIDE	Draugiškas šeimoms viešbutis su daug veikl? vaikams, saugia papl?dimio zona ir aktyvia animacija.																							
ASTORIA HOTEL	Miesto viešbutis Alanijoje, arti papl?dimio ir miesto infrastrukt?ros, tinka paprastam poilsiui.																							
ASTORIA LIFE HOTEL	Ekonomiškas Alanijos viešbutis, patogus poroms ieškan?ioms paprasto poilsio.																							
ATLANTIQUE HOLIDAY CLUB	Didelis vandens parkas „Tortuga“, puiku su vaikais, daug veikl? ir lauko pramog?.																							
AURA RESORT HOTEL	Ramus ir kompaktiškas viešbutis Kemerio regione, tinkamas nebrangiam poilsiui.																							
AVENA RESORT & SPA HOTEL	Moderniai ?rengtas viešbutis arti papl?dimio, geras kainos-kokyb?s santykis.																							
AYBEL INN HOTEL	Ekonomiškas viešbutis su baseinu, tinkamas paprastam ir ramiam poilsiui.																							
AYDINBEY FAMOUS RESORT	Populiarus viešbutis Beleke, šeimoms patogi infrastrukt?ra, patikimas pasirinkimas.																							
AYDINBEY GOLD DREAMS	Alanijos viešbutis su dideliu basein? kompleksu, šeimoms pritaikyta infrastrukt?ra.																							
AYDINBEY KING'S PALACE & SPA	Stilingas ir kokybiškas viešbutis prie sm?lio papl?dimio, vienas geriausi? Side regione.																							
AYDINBEY QUEEN'S PALACE & SPA	Boutique stiliaus prabangus viešbutis, labiau tinkamas poroms nei šeimoms.																							
AZAK	Paprastas viešbutis Alanyos centre, žingsniai iki Kleopatros papl?dimio.																							
AZURA DELUXE RESORT & SPA	Modernus, prabangiai ?rengtas viešbutis su geru maistu ir gražia pakrante.																							
BAIA BODRUM HOTEL	Modernus viešbutis Bodrume su panoraminiais Eg?jo j?ros vaizdais, tinkamas prabangiam poilsiui.																							
BAIA LARA HOTEL	Modernus viešbutis Laroje, gars?jantis aukštu gastronomijos lygiu ir kokybišku aptarnavimu.																							
BAIA SALIMA KEMER	Viešbutis gražioje ?lankoje Kemeryje, sm?lio papl?dimys ir šeimoms tinkami kambariai.																							
BALMY BEACH RESORT KEMER ADULT ONLY (16+)	Tik suaugusiems skirtas viešbutis Kemeryje, ramesnis pasirinkimas poroms.																							
BALMY FORESTA	Stilingas, naujas viešbutis pušyno apsuptyje, ramus ir komfortiškas poilsis gamtoje.																							
BARHAN HOTEL	Paprastas viešbutis ant j?ros kranto, geras pasirinkimas biudžetiniam poilsiui.																							
BARISCAN HOTEL	Ekonomiškas viešbutis arti Kleopatros papl?dimio.																							
BARUT B SUITES	Dideli apartamentai su virtuv?l?mis, idealu šeimoms ir keliaujantiems su vaikais.																							
BARUT GOIA	Stilingas, modernus Barut kolekcijos viešbutis su aukš?iausios kokyb?s maistu ir ramia, prabangia atmosfera.																							
BARUT HEMERA	Legendinis Barut viešbutis su išskirtiniu maitinimu, stipria animacija ir didžiule žalia teritorija.																							
BATIHAN BEACH RESORT & SPA	Šeimoms idealus viešbutis prie sm?lio papl?dimio su vandens kalneliais ir aktyviu poilsiu.																							
BAYOU VILLAS	Privatumo oaz? su atskiromis vilomis, priva?iais baseinais ir aukšto lygio butlerio paslaugomis.																							
BAYOU VILLAS DIDIM	Prabangios vilos su nuosavais baseinais, moderniu dizainu ir VIP aptarnavimu ant j?ros kranto.																							
BEACH CLUB DOGANAY	Šeimoms patogus viešbutis Alanijoje su pla?iu papl?dimiu ir pramog? programa vaikams.																							
BEGONVILLE BEACH ADULT ONLY (16+)	Ramus suaugusi?j? viešbutis ant j?ros kranto, idealus ramiam, biudžetiniam poilsiui.																							
BEGONVILLE HOTEL	Miesto viešbutis Marmaryje, arti papl?dimio ir pramog? zonos.																							
BELCONTI RESORT HOTEL	Erdvi teritorija Beleke, daug žalumos, patogus šeimoms, ilgaamžis populiarus viešbutis.																							
BELDIBI BEACH HOTEL	Tvarkingas viešbutis su puikia lokacija prie j?ros ir gražia kaln? panorama.																							
BELKON HOTEL	Ekonominis viešbutis Belek regione, tinkamas paprastam ir nebrangiam poilsiui.																							
BELLIS DELUXE HOTEL	Prabangus kompleksas Beleke su nuosavu zoologijos sodu, didel? teritorija, puiki infrastrukt?ra šeimoms ir poroms.																							
BELLISSIMA HOTEL	Paprastas ir jaukus viešbutis, geras pasirinkimas ekonomiškam poilsiui.																							
BELPOINT BEACH HOTEL	Tvarkingas viešbutis arti papl?dimio, ramus ir tinkamas šeimoms.																							
BENDIS BEACH	Sm?lio papl?dimys, jauki atmosfera ir ekonomiškas, bet patogus poilsis.																							
BERGIZ HOTELS&RESORTS KEMER	Modernus, stilingas viešbutis su stipria animacija ir kokybiška infrastrukt?ra.																							
BERRY BLUE HOTEL	Naujas, moderniai ?rengtas viešbutis su komfortiškais kambariais ir geru aptarnavimu.																							
BESO BEACH HOTEL	Papl?dimio viešbutis su jaukia atmosfera, gerai tinka poroms ir ramiam poilsiui.																							
BIENO CLUB HOTEL SVS	Geras kainos–kokyb?s santykis, paprastas poilsis su baseinais ir animacija.																							
BIENO VENUS HOTEL	Didel? teritorija, vandens kalneliai ir šeimoms pritaikyta infrastrukt?ra.																							
BILKAY HOTEL	Ekonomiškas viešbutis arti Kleopatros papl?dimio.																							
BITEZ GARDEN LIFE HOTEL	Žalios sod? teritorijos, arti Bodrumo, gera kaina šeimoms.																							
BLUE BAY PLATINUM	Stilingas, modernus viešbutis Marmaryje su didele pramog? ir vandens pramog? pasi?la.																							
BLUE BAY STYLE	Modernus boutique stiliaus viešbutis su patogia vieta ir jaukia atmosfera.																							
BLUE DIAMOND ALYA	Nedidelis, jaukus viešbutis, arti papl?dimio, patogus ekonominis variantas.																							
BLUE DREAMS RESORT & SPA	?sp?dinga Eg?jo j?ros panorama, terasa leidžian?ia m?gautis saul?lydžiais ir komfortiška infrastrukt?ra.																							
BLUE FISH HOTEL	Ekonomiškas viešbutis arti papl?dimio, tinkamas nebrangiam poilsiui.																							
BLUE MARLIN DELUXE SPA & RESORT	Naujas ir modernus viešbutis su aukštos kokyb?s numeriais ir stilinga aplinka.																							
BLUE STAR HOTEL	Nedidelis viešbutis Alanijoje, šeimoms tinkamas biudžetinis variantas.																							
BLUE WAVE SUITE HOTEL	Šeimoms tinkamas viešbutis su vandens kalneliais, erdviais numeriais ir gera atmosfera.																							
BODRUM BEACH RESORT	Miesto tipo viešbutis arti papl?dimio, geras pasirinkimas aktyvioms ir nebrangioms atostogoms.																							
BODRUM HOLIDAY RESORT & SPA	Šeimoms tinkamas Bodrumo viešbutis su papl?dimiu ir animacija.																							
BODRUM PARK RESORT	Didel? teritorija su žaluma, šeimoms tinkamos pramogos ir papl?dimys.																							
BONAPART SEALINE HOTEL	Ekonomiškas, paprastas viešbutis Alanijoje, arti papl?dimio.																							
BORA BORA BUTIK HOTEL	Jaukus, mažas viešbutis su šilta atmosfera, tinkamas nebrangiam poilsiui.																							
BOSPHORUS SORGUN HOTEL	Modernus viešbutis Side regione, pritaikytas šeimoms, su daug pramog? vaikams.																							
BOTANIK HOTEL&RESORT	Didžiul?, j?r? tematika ?kv?pta teritorija – rojus šeimoms su vaikais.																							
BOTANIK PLATINUM	Modernesn? „Botanik“ versija su dideliais baseinais ir akvaparku, šeim? rojus.																							
BRITANNIA HOTEL&VILLAS	Ekonominis viešbutis su paprastais kambariais, tinkamas nebrangiam poilsiui.																							
CACTUS FLEUR BEACH	Kompaktiškas viešbutis Bodrume, arti papl?dimio, patogus šeimoms.																							
CALIDO MARIS	Modernus viešbutis su stipria animacija ir pla?ia sm?lio pakrante.																							
CALISTA LUXURY RESORT	Ramiam ir kokybiškam poilsiui, patikimas pasirinkimas poroms ir šeimoms, puikus aptarnavimas ir maistas.																							
CAMPUS HILL HOTEL	Modernus Alanijos viešbutis, labiau tinkamas poroms, ieškan?ioms komforto už prieinam? kain?.																							
CAPRICE BEACH	Papl?dimio viešbutis su gera lokacija ir ramiu poilsiu.																							
CASA BLANCA BEACH HOTEL ADULT ONLY (12+)	Tik suaugusiems – labai rami atmosfera ir puiki vieta prie j?ros.																							
CASA FORA BEACH RESORT BY MIRAMOR	Visiškai naujas, modernus viešbutis su stilingais kambariais ir kokybišku poilsiu.																							
CASA NONNA BODRUM ADULT ONLY (16+)	Prabangus boutique stiliaus viešbutis tik suaugusiems – ramyb?, privatumas ir aukštas komfortas.																							
CASTIVAL HOTEL SIDE	Šiuolaikiškas viešbutis su aukšta paslaug? kokybe ir stipria animacija.																							
CASTLE PARK HOTEL	Ekonominis, paprastas viešbutis su patogia vieta prie miestelio infrastrukt?ros.																							
CATS GARDEN HOTEL	Apartament? tipo viešbutis su virtuv?l?mis, tinkamas šeimoms ir ilgalaikiam poilsiui.																							
CELAL SULTAN HOTEL	Jaukus viešbutis Stambulo senamiestyje su autentiška atmosfera.																							
CELESTE BELLA LUXURY HOTEL & SPA	Prabangus, modernus viešbutis su aukštos klas?s paslaugomis ir ramia aplinka.																							
CENGER BEACH RESORT & SPA	Tvarkingas viešbutis su pla?ia sm?lio pakrante ir šeimoms patogia infrastrukt?ra.																							
CESARS SIDE	Viešbutis prie j?ros Side, erdv?s kambariai, tinkamas šeimoms.																							
CIHANTURK HOTEL	Kompaktiškas viešbutis Marmaryje, tinkamas poroms ieškan?ioms ekonomiško varianto.																							
CITRUS PARK HOTEL	Modernus viešbutis su jaukia atmosfera ir artumu j?ros pakrantei.																							
CITY POINT BEACH & SPA	Stilingas viešbutis su puikia SPA zona ir idealia lokacija ant j?ros kranto.																							
CLEOPATRA GOLDEN BEACH HOTEL	Nedidelis viešbutis netoli garsiojo Kleopatros papl?dimio Alanijoje, šeimoms tinkamas variantas.																							
CLOVER MAGIC ALTINKUM PARK	Mažas viešbutis su jaukia aplinka ir arti sm?lio papl?dimio.																							
CLOVER MAGIC NOVA BEACH HOTEL	Ramus viešbutis šalia j?ros, su minimaliu atstumu iki papl?dimio ir paprastu komfortu.																							
CLOVER MAGIC PARK BEACH ALANYA	Papl?dimio viešbutis arti j?ros, ramus poilsis ir patogus pri?jimas prie Alanyos lankytin? viet?.																							
CLOVER MAGIC PARK SIDE HOTEL	Tvarkingas, nedidelis viešbutis arti Side centro, tinkamas ekonomiškam poilsiui.																							
CLUB & HOTEL LETOONIA /	Vienas ?sp?dingiausi? Turkijos kompleks? – priva?ia pusiasalio teritorija, ?lankomis ir aukštu paslaug? lygiu.																							
CLUB APERION BEACH HOTEL	Nedidelis viešbutis prie papl?dimio, biudžetinis variantas poroms.																							
CLUB ARONA BY LAREN HOTELS	Modernus, boutique stiliaus viešbutis su aukštu komforto lygiu ir stilinga aplinka.																							
CLUB BAYAR BEACH HOTEL	Viešbutis ant sm?lio papl?dimio, su baseinais ir geru kainos–kokyb?s santykiu.																							
CLUB BELCEKIZ BEACH	Nuostabi ?lüdenizo ?lanka, itin graži gamta ir aukštos kokyb?s viešbu?io paslaugos.																							
CLUB BIG BLUE SUITE HOTEL	Šeimoms pritaikytas viešbutis su erdviais numeriais ir vandens pramogomis.																							
CLUB CACTUS PARADISE	Paprastas, bet tvarkingas viešbutis su gražiu sm?lio papl?dimiu.																							
CLUB DIZALYA HOTEL	Žalia teritorija, ramus poilsis ir draugiška atmosfera šeimoms.																							
CLUB GOLF HOTEL	Šeimoms skirtas viešbutis su animacija, baseinais ir patogiu pri?jimu prie papl?dimio.																							
CLUB HOTEL ANJELIQ	Stilingas viešbutis su unikaliu dizainu, jaunatviška atmosfera ir muzikiniais renginiais.																							
CLUB HOTEL BELPINAR	Nedidelis šeimoms draugiškas viešbutis Kemeryje, papl?dimys arti viešbu?io.																							
CLUB HOTEL MARAKESH BEACH	Prie j?ros esantis viešbutis su turkišku stiliumi ir jaukia aplinka.																							
CLUB HOTEL MIRABELL	Tinkamas šeimoms, su baseinais ir patogia lokacija prie j?ros.																							
CLUB HOTEL PHASELIS ROSE	Didel? teritorija, puikus papl?dimys ir nuostabi kaln? panorama – klasikinis Kemerio atostog? variantas.																							
CLUB HOTEL RAMA	Prie j?ros ant kalvos ?sik?r?s viešbutis su gražiais vaizdais ir ramiu poilsiu.																							
CLUB HOTEL SERA	Elegantiškas, istorin?s architekt?ros viešbutis Antalijoje, romantiškas pasirinkimas poroms.																							
CLUB HOTEL TURAN PRINCE WORLD	Milžiniška teritorija, vienas didžiausi? akvapark? regione, tinkamas kelioms kartoms.																							
CLUB KASTALIA HOLIDAY VILLAGE	Vienas populiariausi? šeim? kurort? Alanijoje - didžiulis akvaparkas, sporto aikštynai, animacija vaikams.																							
CLUB MARVY BY PALOMA	Vienas unikaliausi? Turkijos viešbu?i? – „boho chic“ stiliaus koncepcija, daug žalumos, šeimoms patog?s apartamentai.																							
CLUB MERMAID VILLAGE	Baseinai su vandens kalneliais, šeimoms pritaikyti kambariai, nedidelis kompleksas.																							
CLUB MUNAMAR BEACH RESORT	Puiki vieta prie j?ros, patogi promenada ir rami atmosfera.																							
CLUB PARADISO	Alanijos viešbutis su kalv? panorama, šeimoms draugiška animacija.																							
CLUB PRIVE BY RIXOS BELEK	Ultra prabangus Rixos tinklo produktas su vilomis ir priva?iu aptarnavimu, VIP papl?dimys.																							
CLUB PRIVE BY RIXOS GOCEK	Išskirtinis prabangus Rixos viešbutis tik su vilomis, privat?s papl?dimiai, aukš?iausio lygio aptarnavimas.																							
CLUB SEA TIME	Nedidelis Alanijos viešbutis, tinkamas šeimoms ieškan?ioms ekonomiško varianto.																							
CLUB SUN HEAVEN FAMILY&SPA HOTEL	Šeim? viešbutis su daug veikl?, animacija ir patogiu pri?jimu prie papl?dimio.																							
CLUB TESS HOTEL	Viešbutis su geru papl?dimiu ir draugiška atmosfera, tinkamas ramiam poilsiui.																							
CLUB TITAN	Ramus viešbutis prie j?ros, idealiai tinkantis nebrangiam šeim? poilsiui.																							
CLUB TROPICAL BEACH HOTEL	Šeimoms draugiškas viešbutis su jaukia atmosfera, dideliu papl?dimiu ir gera vieta Alanijoje.																							
CLUB TUANA	Didžiul? teritorija gamtos apsuptyje, daug žali? zon?, mini zoologijos sodas ir puikus pasirinkimas šeimoms.																							
CLUB TURTAS BEACH HOTEL	Gražus sm?lio papl?dimys, rami atmosfera ir ekonomiškas, bet patogus poilsis.																							
CLUB WASA HOLIDAY VILLAGE	Komfortiški bungalow tipo kambariai, žalias sodas ir ramus poilsis prie j?ros.																							
CLUB YALI HOTEL & RESORT	Didelis vandens parkas, sm?lio papl?dimys ir gera animacija šeimoms.																							
